Datetime,Episode,Validation_Score
2023-10-07 17:30:06,3840,2955
2023-10-07 17:30:15,3850,2955
2023-10-07 17:30:24,3860,2955
2023-10-07 17:30:33,3870,2953
2023-10-07 17:30:41,3880,2955
2023-10-07 17:30:50,3890,2955
2023-10-07 17:31:00,3900,2955
2023-10-07 17:31:09,3910,2955
2023-10-07 17:31:18,3920,2955
2023-10-07 17:31:27,3930,2955
2023-10-07 17:31:36,3940,2955
2023-10-07 17:31:45,3950,2955
2023-10-07 17:31:53,3960,2955
2023-10-07 17:32:03,3970,2955
2023-10-07 17:32:11,3980,2955
2023-10-07 17:32:20,3990,2955
2023-10-07 17:32:29,4000,2955
2023-10-07 17:32:38,4010,2955
2023-10-07 17:32:47,4020,2955
2023-10-07 17:32:56,4030,2955
2023-10-07 17:33:05,4040,2955
2023-10-07 17:33:14,4050,2955
2023-10-07 17:33:22,4060,2955
2023-10-07 17:33:32,4070,2955
2023-10-07 17:33:41,4080,2955
2023-10-07 17:33:50,4090,2955
2023-10-07 17:33:58,4100,2955
2023-10-07 17:34:08,4110,2955
2023-10-07 17:34:16,4120,2955
2023-10-07 17:34:25,4130,2955
2023-10-07 17:34:34,4140,2955
2023-10-07 17:34:43,4150,2955
2023-10-07 17:34:52,4160,2955
2023-10-07 17:35:01,4170,2955
2023-10-07 17:35:10,4180,2955
2023-10-07 17:35:19,4190,2955
2023-10-07 17:35:27,4200,2955
2023-10-07 17:35:36,4210,2955
2023-10-07 17:35:45,4220,2955
2023-10-07 17:35:54,4230,2955
2023-10-07 17:36:03,4240,2955
2023-10-07 17:36:12,4250,2955
2023-10-07 17:36:22,4260,2955
2023-10-07 17:36:30,4270,2955
2023-10-07 17:36:39,4280,2955
2023-10-07 17:36:48,4290,2955
2023-10-07 17:36:57,4300,2955
2023-10-07 17:37:06,4310,2955
2023-10-07 17:37:15,4320,2955
2023-10-07 17:37:24,4330,2955
2023-10-07 17:37:32,4340,2955
2023-10-07 17:37:41,4350,2955
2023-10-07 17:37:50,4360,2955
2023-10-07 17:37:59,4370,2955
2023-10-07 17:38:08,4380,2955
2023-10-07 17:38:16,4390,2955
2023-10-07 17:38:25,4400,2955
2023-10-07 17:38:35,4410,2955
2023-10-07 17:38:43,4420,2955
2023-10-07 17:38:52,4430,2955
2023-10-07 17:39:02,4440,2955
